HRA	50.347158963 13.328632613 417.645		
1	50.348214006 13.328848272 416.331		
2	50.349232712 13.331902111 408.812		
3	50.347878665 13.335396635 406.991		
4	50.347298117 13.336905789 403.64		
5	50.345011015 13.337794688 397.757		
6	50.342346896 13.339726585 391.923		
7	50.339291396 13.341953791 393.461		
8	50.336048787 13.344317877 399.948		
9	50.335276358 13.350609154 393.521		
10	50.334561254 13.356479162 386.504		
11	50.337101853 13.361010327 368.788		
12	50.336685089 13.364242444 365.844		
13	50.336114673 13.368660171 363.449		
14	50.335488651 13.373512087 362.714		
15	50.33491985 13.377919892 363.051		
16	50.334422075 13.381776213 363.048		
17	50.333862117 13.386103937 361.755		
18	50.333388165 13.389778349 361.302		
19	50.332294516 13.393660294 359.721		
20	50.330881401 13.398661281 361.049		
21	50.329723107 13.402765315 361.296		
22	50.327188969 13.405279014 362.419		
23	50.324269166 13.408175434 362.343		
24	50.321568175 13.410849297 360.446		
25	50.319102354 13.413287295 347.518		
26	50.316378234 13.415987747 330.362		
27	50.313654352 13.418679728 332.785		
28	50.311108106 13.421203603 329.479		
29	50.30856322 13.423721186 313.642		
30	50.30568119 13.425995223 281.627		
31	50.302433092 13.428546618 297.942		
32	50.299850504 13.430577048 293.157		
33	50.296798192 13.432979823 287.492		
34	50.293755122 13.43537513 289.597		
35	50.290766481 13.437723366 294.463		
36	50.287771519 13.440077902 333.538		
37	50.285289522 13.442030823 309.673		
38	50.282960322 13.443862964 325.917		
39	50.280822086 13.445543086 335.031		
40	50.278003946 13.447756923 322.406		
41	50.275262887 13.449914182 309.841		
42	50.272598472 13.452006615 321.476		
43	50.270095779 13.453971804 359.911		
44	50.267600786 13.45593312 355.835		
45	50.265182823 13.457831705 347.18		
46	50.262689699 13.459790036 340.334		
47	50.260363823 13.461615215 336.678		
48	50.257632554 13.463758033 350.763		
49	50.255046323 13.465788228 377.048		
50	50.25279169 13.467559757 392.922		
51	50.250036276 13.469722423 395.216		
52	50.247369361 13.471815977 397.01		
53	50.244875784 13.473771748 393.914		
54	50.242609892 13.475548096 380.208		
55	50.239799646 13.477752284 364.922		
56	50.237290997 13.479717456 354.925		
57	50.234758943 13.482393827 340.848		
58	50.23244301 13.484829288 334.48		
59	50.229295438 13.488149412 323.274		
60	50.226982001 13.490590653 342.927		
61	50.224517465 13.493186941 357.371		
62	50.221912026 13.495934699 356.295		
63	50.219368747 13.498617426 356.3		
64	50.216954318 13.501163849 362.384		
65	50.214485829 13.503761897 372.719		
66	50.211929544 13.506456846 374.393		
67	50.209072358 13.509466799 377.008		
68	50.206853157 13.511807054 379.182		
69A	50.204042099 13.515069312 407.927		
69	50.202188254 13.518164622 409.869		
70	50.200154168 13.521097525 421.921		
71	50.198306501 13.523758324 422.464		
72	50.196107543 13.526934695 427.506		
73	50.193919787 13.530088306 435.989		
74	50.191934634 13.532948941 444.081		
75	50.189958862 13.535796088 439.434		
76	50.187509625 13.539324977 434.007		
77	50.185185121 13.542672921 435.74		
78	50.182848907 13.54663233 442.082		
79	50.180869503 13.549987545 448.034		
80	50.178882837 13.553356897 440.497		
81	50.176329393 13.557685235 449.23		
82	50.174261417 13.561191431 448.942		
83	50.171760404 13.56543265 465.475		
84	50.169925223 13.568541222 479.957		
85	50.167869989 13.572016827 477.87		
86	50.165991703 13.575195708 470.012		
87	50.163747937 13.578992528 454.674		
88	50.161806264 13.582280758 443.976		
89	50.159928594 13.585458624 434.688		
90	50.158011321 13.588702005 433.869		
91	50.156147191 13.591856385 437.111		
92	50.15642858 13.595933802 429.907		
93	50.156825477 13.601662952 422.74		
94	50.157143736 13.606244058 422.985		
95	50.157447418 13.610616469 430.691		
96	50.157772018 13.615311601 437.247		
97	50.158102559 13.6200815 460.062		
98	50.158460293 13.625265345 454.797		
99	50.158815832 13.630402035 462.022		
100	50.159164308 13.635430869 461.538		
101	50.159530359 13.640737224 461.183		
102	50.159862915 13.645548355 454.398		
103	50.160211185 13.65059839 449.854		
104	50.1603509 13.655910163 454.041		
105	50.160490149 13.661215799 452.778		
106	50.160622291 13.666298096 451.494		
107	50.160872372 13.670809234 446.731		
108	50.161167431 13.676163586 443.976		
109	50.161455221 13.68137022 451.959		
110	50.161703085 13.685864212 453.522		
111	50.161969532 13.69069505 454.475		
112	50.162245238 13.695703447 447.497		
113	50.162491316 13.700171135 437.599		
114	50.162762655 13.705103304 416.631		
115	50.163031847 13.710001599 409.883		
116	50.163293618 13.714763241 401.616		
117	50.163560594 13.71963108 393.588		
118	50.163829224 13.724528258 390.161		
119	50.164094105 13.729364905 402.105		
120	50.165799694 13.732608463 394.747		
121	50.1682652 13.737298353 410.287		
122	50.169815236 13.740247484 421.9		
123	50.171113056 13.742715518 419.374		
124	50.172431045 13.745224621 416.398		
125	50.174068919 13.748338785 417.901		
126	50.174825192 13.75323657 413.762		
127	50.175652947 13.758565562 442.432		
128	50.176307274 13.762790654 455.794		
129	50.177272967 13.769032773 462.792		
130	50.17795018 13.773404669 480.365		
131	50.178017946 13.779539872 459.902		
132	50.178065431 13.783927023 465.092		
133	50.178117127 13.78875565 484.973		
134	50.178166866 13.793291076 496.644		
135	50.178217594 13.797972976 501.095		
136	50.178270221 13.802809063 498.285		
137	50.178317538 13.807299946 493.824		
138	50.178362544 13.811474238 488.893		
139	50.178405673 13.815481688 486.431		
140	50.178448071 13.819574033 484.649		
141	50.178482238 13.822803296 484.768		
142	50.178536929 13.828027127 482.734		
143	50.178586517 13.832656695 481.621		
144	50.17864946 13.838662699 490.846		
145	50.178693888 13.842996385 488.882		
146	50.178743345 13.847768919 483.398		
147	50.17879113 13.852556515 493.844		
148	50.17884527 13.857759015 484.33		
149	50.178896837 13.86289839 484.006		
150	50.177808612 13.865796185 476.667		
151	50.176337284 13.86970663 468.568		
152	50.174435288 13.874761778 479.4		
153	50.172930609 13.878758783 524.983		
154	50.171374401 13.882892598 531.736		
155	50.169819835 13.8870239 531.82		
156	50.168363773 13.890894077 529.533		
157	50.166770055 13.895132483 525.807		
158	50.165302432 13.899034126 518.348		
159	50.163754568 13.90314195 515.306		
160	50.162448599 13.906611238 513.284		
161	50.161111176 13.910163334 516.591		
162	50.159885265 13.913418472 518.838		
163	50.158802274 13.918075275 515.803		
164	50.157734416 13.922664934 498.367		
165	50.156565952 13.92768785 477.342		
166	50.155464566 13.932429029 464.618		
167	50.154271734 13.937553704 502.224		
168	50.153344164 13.941537972 502.231		
169	50.150605561 13.943730534 505.984		
170	50.147899191 13.945894688 510.728		
171	50.144877308 13.948303048 504.283		
172	50.142152967 13.950475643 467.157		
173	50.139252205 13.952791544 455.371		
174	50.136127393 13.955287789 450.927		
175	50.133648632 13.957264107 456.051		
176	50.13123432 13.959190032 463.286		
177	50.128734787 13.961181744 473.141		
178	50.127657782 13.965330231 470.369		
179	50.126367102 13.970411642 462.377		
180	50.125253302 13.974820066 447.905		
181	50.123954173 13.979945995 466.253		
182	50.122754025 13.984644721 472.791		
183	50.121628347 13.989077334 485.43		
184	50.120488458 13.993567259 485.008		
185	50.119458817 13.997623091 476.256		
186	50.118265396 14.00229808 468.084		
187	50.117203891 14.00646835 461.012		
188	50.114946182 14.007485089 455.367		
189	50.11224508 14.008702333 446.773		
190	50.109669019 14.009861089 445.759		
191	50.106547588 14.011259074 436.965		
192	50.104220033 14.012302491 437.05		
193	50.101467357 14.013540689 432.905		
194	50.099107345 14.01459562 441.569		
195	50.096691824 14.015678045 446.513		
196	50.094282012 14.016759361 445.207		
197	50.092022907 14.017773866 466.811		
198	50.089772623 14.018781646 453.195		
199	50.088096899 14.019530834 448.937		
200	50.08598586 14.020478546 440.611		
201	50.082109505 14.022214569 436.406		
202	50.080377712 14.023700631 445.078		
203	50.077474275 14.026187775 437.951		
204	50.07457258 14.02867536 466.433		
205	50.072978785 14.031352009 451.282		
206	50.07030562 14.035836456 451.561		
207	50.068982015 14.038053873 467.02		
208	50.066506783 14.042201686 475.597		
209	50.064414645 14.045712115 485.126		
210	50.062509588 14.048895037 446.104		
211	50.060216604 14.052728112 459.483		
212	50.058839272 14.055488692 477.261		
213	50.057463769 14.058242061 487.009		
214	50.056084701 14.061001687 489.497		
215	50.054873347 14.063423985 479.726		
216	50.053341246 14.066488673 461.324		
217	50.051784484 14.069602048 459.771		
218	50.050404161 14.072362225 453.139		
219	50.048997726 14.07517003 442.127		
220	50.04707739 14.079013716 426.424		
221	50.045684979 14.081793603 443.212		
222	50.044287723 14.084585664 439		
223	50.042626076 14.087907758 435.938		
224	50.041230417 14.090694708 442.896		
225	50.039780494 14.093589901 447.424		
226	50.037252965 14.09385741 452.928		
227	50.035197142 14.094074422 440.352		
228	50.032598688 14.094349906 423.556		
229	50.028832279 14.094746747 434.811		
230	50.027256068 14.094914311 447.583		
231	50.024515337 14.095203033 460.657		
232	50.021835136 14.095485287 488.031		
233	50.020135867 14.095663721 470.073		
234	50.017191976 14.095974169 442.777		
235	50.014411862 14.096268074 435.04		
236	50.011883933 14.096533 430.542		
237	50.008936414 14.096844162 422.675		
238	50.006589561 14.097090974 426.877		
239	50.003147259 14.097453337 430.35		
240	50.001075399 14.098877816 442.96		
241	49.999095488 14.100243311 452.111		
242	49.997023622 14.10166684 456.551		
243	49.995219138 14.102908101 482.332		
244	49.991435472 14.105521193 469.053		
245	49.988496605 14.107546508 423.344		
246	49.986720875 14.108769857 410.904		
247	49.984880433 14.110039324 420.455		
248	49.983345783 14.111093683 423.606		
249	49.981276833 14.112518981 371.607		
250	49.976654769 14.110237622 357.455		
251	49.974555305 14.106229412 338.621		
251A	49.973561544 14.104336458 340.324		
252	49.972434512 14.102187489 354.517		
253	49.970004609 14.101787098 360.981		
254	49.9675115 14.101373906 368.894		
255	49.964020568 14.100806725 359.99		
256	49.961331361 14.100366683 336.155		
257	49.957973206 14.099818578 332.031		
258	49.953959132 14.09242859 310.957		
259	49.95188235 14.088606684 338.737		
260	49.949663215 14.08451976 357.157		
261	49.94721107 14.084133969 421.604		
262	49.945472551 14.083855938 433.339		
263	49.942973948 14.083457926 404.035		
264	49.939788926 14.08294894 421.364		
265	49.936180498 14.082371672 410.114		
266	49.933502245 14.081942091 409.711		
267	49.930887741 14.081526363 424.228		
268	49.928446859 14.084408391 441.631		
269	49.925506054 14.087885971 457.574		
270	49.923266875 14.090534549 452.827		
271	49.920850258 14.09338872 457.259		
272	49.918705458 14.09592465 452.522		
273	49.917803286 14.099448398 450.76		
274	49.916711703 14.10372163 470.147		
275	49.91571477 14.107627944 450.225		
276	49.914624195 14.111897356 423.632		
277	49.913369329 14.116809992 427.179		
278	49.912343597 14.120826604 420.397		
279	49.9112478 14.125107142 373.394		
280	49.910050451 14.129787144 350.75		
281	49.908994214 14.133928348 349.227		
282	49.907928513 14.138083662 354.194		
283	49.907907218 14.142424593 355.068		
284	49.907879834 14.147577004 353.831		
285	49.907856855 14.152748366 347.015		
286	49.907831891 14.157798911 349.088		
287	49.906636662 14.161411744 347.237		
288	49.904882433 14.166727646 345.866		
289	49.903771502 14.170092282 360.865		
290	49.902453202 14.174077424 349.994		
291	49.901020663 14.178403967 317.234		
292	49.899391405 14.183329374 316.504		
293	49.898072676 14.187311112 302.966		
294	49.896942836 14.190728121 297.227		
295	49.896948613 14.194882093 328.315		
296	49.896957067 14.199476952 347.872		
297	49.896946338 14.204415547 371.049		
298	49.896956045 14.208897328 382.927		
299	49.89695946 14.213238621 393.235		
2	49.898655097 14.215254587 383.477		
3	49.901662754 14.215442006 367.106		
4	49.904764909 14.215633221 351.115		
5	49.907460653 14.215799374 339.825		
6	49.910315008 14.215976473 326.886		
7	49.912856105 14.216131448 315.737		
8	49.915707918 14.216308609 323.269		
9	49.918093073 14.216450193 297.483		
10	49.923478514 14.21678531 325.31		
11	49.92536192 14.220575867 360.963		
12	49.926820447 14.22351248 350.128		
13	49.928283902 14.226461403 347.173		
14	49.929951202 14.229822761 332.106		
