HRA	50.346406163 13.332341257 413.841		
2	50.347723132 13.333821932 411.714		
3	50.347422695 13.335249726 407.983		
4	50.345006091 13.337015045 399.198		
5	50.3420067 13.339201918 393.405		
6	50.338791367 13.341540522 395.023		
7	50.335651956 13.34383245 400.95		
8	50.335092181 13.348409388 397.045		
9	50.334515694 13.353094726 391.68		
10	50.333836583 13.358621983 384.613		
11	50.333231141 13.36353891 379.707		
12	50.332636725 13.368387974 375.582		
13	50.331970206 13.373815171 369.926		
14	50.331287954 13.3793496 366.501		
15	50.330652265 13.384509367 366.077		
16	50.328273318 13.388670329 365.659		
17	50.325735268 13.393106189 364.871		
18	50.323475209 13.397056125 362.042		
19	50.32116686 13.401077311 351.712		
20	50.31864951 13.40548541 342.191		
21	50.316135761 13.4098869 323.611		
22	50.313490529 13.41450358 318.402		
23	50.311143515 13.418595696 332.823		
24	50.308728667 13.422815697 315.313		
25	50.30644918 13.424609321 279.927		
26	50.30254376 13.427679898 298.583		
27	50.299555112 13.430030792 294.198		
28	50.296869275 13.432145417 288.323		
29	50.294005669 13.434396541 286.768		
30	50.290439571 13.43720164 298.704		
31	50.2877758 13.439294193 330.889		
32	50.28529312 13.441245614 298.924		
33	50.282742946 13.44324949 313.938		
34	50.280619204 13.444917706 322.772		
35	50.277923188 13.447039387 320.727		
36	50.275042242 13.449304254 308.093		
37	50.272113036 13.451606168 320.808		
38	50.269724896 13.453483682 359.482		
39	50.267745588 13.455035273 353.826		
40	50.265664197 13.456671886 348.85		
41	50.26342493 13.458430592 342.264		
42	50.260161213 13.460993824 336.54		
43	50.257427735 13.463140027 350.285		
44	50.25484442 13.465166444 376.509		
45	50.252596445 13.466929626 393.023		
46	50.24983858 13.469093182 396.348		
47	50.247167948 13.47118863 397.862		
48	50.244618362 13.473190472 393.886		
49	50.24240817 13.474923992 381.209		
50	50.239576045 13.477145394 365.353		
51	50.237062718 13.479116651 355.907		
52	50.234227772 13.482066793 339.7		
53	50.231866565 13.484523914 320.122		
54	50.228693847 13.487818878 331.296		
55	50.226461119 13.490140002 347.649		
56	50.224516901 13.492161737 358.562		
57	50.222342591 13.494419719 358.606		
58	50.220174351 13.496673939 354.72		
59	50.217534858 13.499415891 363.355		
60	50.215069004 13.50197874 372.769		
61	50.212902065 13.504230232 377.183		
62	50.210805559 13.506407087 376.166		
63	50.208127205 13.509189432 383.141		
64	50.20542692 13.51199272 373.056		
65	50.202897087 13.514619581 404.83		
66	50.200517138 13.517090593 424.715		
67	50.198164207 13.519529964 434.939		
68	50.196426297 13.522578926 438.83		
69	50.194590209 13.525799687 443.382		
70	50.19282254 13.528897858 446.153		
71	50.191050251 13.532005356 449.415		
72	50.189410377 13.534874703 440.516		
73	50.187402084 13.537769688 432.219		
74	50.185245494 13.540878798 438.801		
75	50.183167803 13.543874794 442.314		
76	50.181307554 13.546554985 455.076		
77	50.179526193 13.549119895 455.409		
78	50.177678597 13.551786945 439.511		
79	50.175906557 13.554336116 457.514		
80	50.174189178 13.556809233 453.636		
81	50.171942208 13.560045969 427.23		
82	50.169724633 13.561860038 462.264		
83	50.166812139 13.564247468 463.31		
84	50.165103227 13.565646132 471.113		
85	50.163028906 13.567347681 461.167		
86	50.161161464 13.56887846 457.631		
87	50.159243434 13.57045058 448.904		
