VER	50.402335689 13.243450236 389.601		
101	50.403228908 13.242903657 388.63		
102	50.404447624 13.244169278 390.284		
103	50.40522339 13.246714395 392.667		
4B	50.404969461 13.248364353 390.934		
5	50.40390849 13.249255982 389.364		
6	50.402369739 13.250548252 384.354		
7	50.401368329 13.254696701 386.819		
8	50.40015736 13.259709978 384.532		
9	50.399340541 13.263092364 386.978		
10	50.398309639 13.267347224 414.043		
11	50.397772106 13.269568648 416.82		
12	50.396516162 13.274779061 370.074		
13	50.394170826 13.277261138 350.957		
14	50.390535675 13.281107007 376.561		
15	50.389031133 13.282696526 374.743		
16	50.386538055 13.282134857 356.541		
17	50.384568258 13.284038264 397.195		
18	50.383234282 13.285324706 402.117		
19	50.379835894 13.288604284 349.963		
20	50.377438256 13.290917046 352.168		
21	50.375138692 13.293139197 371.633		
22	50.371852778 13.296312039 365.47		
23	50.367048133 13.300950179 374.543		
24	50.364619134 13.301550851 374.283		
25	50.361778293 13.302253912 380.794		
26	50.358623748 13.303533214 396.586		
27	50.356334212 13.306039932 386.933		
28	50.353285477 13.309382444 384.661		
29	50.350948193 13.311941695 412.968		
30	50.348063689 13.315100003 417.824		
31	50.345662623 13.317727241 421.309		
32	50.343414792 13.320188664 426.183		
33	50.342546475 13.324548675 421.179		
34	50.345086281 13.326348025 416.567		
HRA	50.346422 13.327809854 417.679		
