TUS2	50.380358077 13.338793883 341.271		
1	50.379821402 13.338605342 342.624		
2	50.379170528 13.336141267 346.06		
3	50.378273184 13.332751547 352.399		
4	50.376121751 13.331915075 362.139		
5	50.373452878 13.330887233 363.782		
6	50.371221528 13.330029042 360.113		
7	50.368762432 13.329082343 349.725		
8	50.36554643 13.32784379 351.48		
9	50.3628952 13.326825286 361.583		
10	50.360701889 13.325979309 370.914		
11	50.358025724 13.324949901 379.507		
12	50.355788195 13.324773827 384.717		
13	50.353543367 13.324593825 394.377		
14	50.35127333 13.324414598 417.467		
15	50.35016791 13.325221942 417.47		
16	50.349130305 13.325980526 418.692		
HRA	50.347874076 13.32506912 419.009		
