PRUII	50.420776069 13.258025103 406.453		
1	50.421898353 13.258585468 410.191		
2	50.424331181 13.257826025 417.152		
3	50.426456013 13.257162028 424.764		
4	50.428455944 13.256538674 453.506		
5	50.428585504 13.253370411 469.453		
6	50.428694977 13.250646237 483.939		
7	50.427940082 13.247261477 489.426		
8	50.427220612 13.244030179 484.063		
9	50.426364732 13.240198281 487.181		
10	50.425565216 13.236633147 484.639		
11	50.424657176 13.232557433 493.198		
12	50.422554096 13.230557275 464.502		
13	50.419482145 13.227640179 444.179		
14	50.417193625 13.223341288 456.409		
15	50.415404809 13.219982623 455.878		
16	50.41346082 13.216336159 473.727		
17	50.411792555 13.213211098 462.624		
18	50.409772214 13.209424811 458.102		
19	50.407583012 13.205330659 444.64		
20	50.40534624 13.20114427 440.887		
21	50.401865045 13.200742815 428.5		
22	50.399497613 13.203747384 417.43		
23	50.396637639 13.207371255 404.12		
24	50.393837945 13.210921637 396.3		
25	50.393920235 13.21467434 386.976		
26	50.395046496 13.218029572 385.891		
27	50.396296128 13.221747419 383.015		
28	50.397653783 13.225788786 383.678		
29	50.397380757 13.229638038 390.191		
30	50.393365229 13.232382755 382.522		
31	50.391653818 13.235544858 378.209		
32	50.389297321 13.239898688 373.795		
33	50.387590076 13.243054791 366.243		
34	50.385771125 13.244059341 364.686		
35	50.382801276 13.245703226 354.372		
36	50.380512535 13.246969277 339.768		
37	50.377408953 13.248684335 365.616		
38	50.376298778 13.251360343 372.817		
39	50.374984285 13.254535879 372.997		
40	50.373348733 13.258482369 364.947		
41	50.372083344 13.261538871 367.587		
42	50.370468694 13.265437004 391.226		
43	50.369833741 13.268907641 383.493		
44	50.366933322 13.272015935 390.879		
45	50.364261276 13.274880553 390.355		
46	50.362396437 13.278268521 397.528		
47	50.360621472 13.281489365 392.531		
48	50.359241776 13.284001386 390.833		
49	50.3577386 13.286731475 392.186		
50	50.357048853 13.289764041 404.884		
51	50.35635959 13.292794823 421.153		
52	50.356270414 13.296802681 409.567		
53	50.356175246 13.300994176 399.281		
54	50.356072605 13.305467893 387.875		
55	50.352566424 13.309310473 396.845		
56	50.350223303 13.311877903 407.771		
57	50.347584506 13.314770496 419.277		
58	50.345555957 13.316994936 420.421		
59	50.343155454 13.319621152 427.375		
60	50.342393701 13.322379204 422.793		
61	50.341628613 13.325147468 419.871		
62	50.342494304 13.32908161 413.721		
63	50.344720237 13.329571429 415.992		
HRA	50.346002068 13.329830536 416.627		
